Transaction ID,Order Date,Customer ID,Customer Name,Product Category,Product Name,Quantity,Unit Price,Discount,Sales Amount,Profit,Payment Method,Country,State,Region
TXN-100015,2024-10-02,Cust-1054,Customer 1054,Sports,Yoga Mat,1,29.0,0.0,29.0,5.76,Credit Card,Germany,Hamburg,Europe
TXN-100016,2026-04-19,Cust-1108,Customer 1108,Home & Kitchen,Blender,2,49.0,0.0,98.0,24.82,Credit Card,United States,California,North America
TXN-100017,2024-11-02,Cust-1060,Customer 1060,Home & Kitchen,Blender,1,49.0,0.0,49.0,8.49,Debit Card,Germany,Hamburg,Europe
TXN-100018,2026-04-17,Cust-1011,Customer 1011,Home & Kitchen,Knife Set,1,59.0,0.15,50.15,9.58,Credit Card,Canada,Ontario,North America
TXN-100019,2025-04-29,Cust-1046,Customer 1046,Beauty,Perfume,2,75.0,0.1,135.0,46.93,Credit Card,United States,New York,North America
TXN-100020,2025-06-03,Cust-1011,Customer 1011,Home & Kitchen,Blender,1,49.0,0.05,46.55,7.6,Google Pay,United States,New York,North America
TXN-100021,2025-10-29,Cust-1085,Customer 1085,Electronics,Charger,2,29.0,0.0,58.0,10.71,Google Pay,United Kingdom,Wales,Europe
TXN-100022,2025-08-12,Cust-1081,Customer 1081,Beauty,Perfume,1,75.0,0.1,67.5,10.87,Debit Card,United Kingdom,England,Europe
TXN-100023,2025-07-15,Cust-1130,Customer 1130,Sports,Water Bottle,1,20.0,0.05,19.0,3.22,Google Pay,United States,Florida,North America
TXN-100024,2025-01-02,Cust-1140,Customer 1140,Electronics,Smartphone,3,699.0,0.05,1992.15,438.05,Debit Card,United Kingdom,Scotland,Europe
TXN-100025,2025-03-28,Cust-1012,Customer 1012,Sports,Dumbbells,4,45.0,0.05,171.0,76.84,Credit Card,Germany,Bavaria,Europe
TXN-100026,2024-12-02,Cust-1061,Customer 1061,Sports,Running Shoes,2,95.0,0.1,171.0,76.13,Credit Card,Canada,Quebec,North America
TXN-100027,2025-09-27,Cust-1102,Customer 1102,Beauty,Shampoo,2,15.0,0.0,30.0,8.71,Debit Card,Canada,Alberta,North America
TXN-100028,2025-05-04,Cust-1036,Customer 1036,Clothing,T-Shirt,4,25.0,0.0,100.0,18.28,Apple Pay,United States,Florida,North America
TXN-100029,2024-07-16,Cust-1036,Customer 1036,Sports,Backpack,1,55.0,0.0,55.0,22.76,Google Pay,United Kingdom,Scotland,Europe
TXN-100030,2025-03-04,Cust-1051,Customer 1051,Beauty,Perfume,1,75.0,0.1,67.5,14.79,Debit Card,United Kingdom,England,Europe
TXN-100031,2026-01-06,Cust-1106,Customer 1106,Electronics,Smartphone,1,699.0,0.0,699.0,268.33,Credit Card,France,Île-de-France,Europe
TXN-100032,2025-10-12,Cust-1008,Customer 1008,Home & Kitchen,Dinner Set,5,79.0,0.0,395.0,106.2,Credit Card,Canada,Quebec,North America
TXN-100033,2024-08-22,Cust-1002,Customer 1002,Home & Kitchen,Knife Set,1,59.0,0.0,59.0,19.35,PayPal,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100034,2025-11-17,Cust-1104,Customer 1104,Home & Kitchen,Air Fryer,1,119.0,0.1,107.1,46.77,Credit Card,Germany,Berlin,Europe
TXN-100035,2026-05-07,Cust-1039,Customer 1039,Clothing,Socks,2,10.0,0.0,20.0,4.52,Debit Card,United Kingdom,England,Europe
TXN-100036,2025-10-13,Cust-1145,Customer 1145,Sports,Running Shoes,1,95.0,0.1,85.5,38.26,Google Pay,Canada,Alberta,North America
TXN-100037,2026-05-25,Cust-1061,Customer 1061,Sports,Water Bottle,3,20.0,0.0,60.0,21.2,Google Pay,United Kingdom,England,Europe
TXN-100038,2024-12-31,Cust-1032,Customer 1032,Home & Kitchen,Dinner Set,3,79.0,0.1,213.3,77.32,Credit Card,United Kingdom,England,Europe
TXN-100039,2026-05-12,Cust-1099,Customer 1099,Home & Kitchen,Dinner Set,1,79.0,0.1,71.1,29.26,Debit Card,United Kingdom,Wales,Europe
TXN-100040,2026-01-08,Cust-1137,Customer 1137,Home & Kitchen,Knife Set,2,59.0,0.0,118.0,46.66,Apple Pay,France,Île-de-France,Europe
TXN-100041,2026-01-12,Cust-1038,Customer 1038,Electronics,Charger,2,29.0,0.15,49.3,16.74,Google Pay,Canada,Alberta,North America
TXN-100042,2025-02-23,Cust-1069,Customer 1069,Home & Kitchen,Blender,1,49.0,0.1,44.1,11.8,Apple Pay,France,Île-de-France,Europe
TXN-100043,2025-11-11,Cust-1147,Customer 1147,Beauty,Foundation,4,35.0,0.0,140.0,53.38,Credit Card,United States,New York,North America
TXN-100044,2024-11-02,Cust-1021,Customer 1021,Electronics,Headphones,3,150.0,0.15,382.5,134.95,PayPal,Germany,Hamburg,Europe
TXN-100045,2025-10-22,Cust-1124,Customer 1124,Beauty,Shampoo,1,15.0,0.0,15.0,4.45,Debit Card,United Kingdom,Wales,Europe
TXN-100046,2026-04-02,Cust-1025,Customer 1025,Electronics,Laptop,5,999.0,0.0,4995.0,1425.65,PayPal,France,Île-de-France,Europe
TXN-100047,2024-07-15,Cust-1115,Customer 1115,Electronics,Smartwatch,2,199.0,0.0,398.0,173.23,Google Pay,Germany,Bavaria,Europe
TXN-100048,2024-12-08,Cust-1046,Customer 1046,Sports,Water Bottle,4,20.0,0.05,76.0,21.48,Debit Card,United Kingdom,England,Europe
TXN-100049,2025-03-25,Cust-1123,Customer 1123,Electronics,Charger,1,29.0,0.1,26.1,9.51,Apple Pay,Canada,British Columbia,North America
TXN-100050,2025-07-17,Cust-1026,Customer 1026,Beauty,Lipstick,3,18.0,0.05,51.3,19.56,PayPal,Canada,Alberta,North America
TXN-100051,2026-02-15,Cust-1092,Customer 1092,Beauty,Shampoo,4,15.0,0.15,51.0,10.49,Apple Pay,United States,California,North America
TXN-100052,2025-05-06,Cust-1083,Customer 1083,Beauty,Lipstick,1,18.0,0.0,18.0,3.05,Debit Card,France,Île-de-France,Europe
TXN-100053,2024-07-08,Cust-1087,Customer 1087,Home & Kitchen,Knife Set,1,59.0,0.0,59.0,20.89,PayPal,Canada,Quebec,North America
TXN-100054,2025-02-21,Cust-1044,Customer 1044,Clothing,T-Shirt,4,25.0,0.15,85.0,31.22,Credit Card,United Kingdom,England,Europe
TXN-100055,2025-06-05,Cust-1075,Customer 1075,Clothing,Sneakers,2,80.0,0.0,160.0,24.47,Debit Card,Germany,Bavaria,Europe
TXN-100056,2026-01-10,Cust-1032,Customer 1032,Clothing,Socks,1,10.0,0.1,9.0,2.32,Debit Card,Canada,Quebec,North America
TXN-100057,2025-05-30,Cust-1121,Customer 1121,Electronics,Laptop,1,999.0,0.05,949.05,413.28,PayPal,France,Auvergne-Rhône-Alpes,Europe
TXN-100058,2024-09-24,Cust-1133,Customer 1133,Clothing,T-Shirt,1,25.0,0.0,25.0,9.07,Apple Pay,Canada,Alberta,North America
TXN-100059,2025-06-26,Cust-1061,Customer 1061,Home & Kitchen,Air Fryer,3,119.0,0.0,357.0,141.08,PayPal,Canada,British Columbia,North America
TXN-100060,2025-09-22,Cust-1126,Customer 1126,Clothing,Sneakers,2,80.0,0.0,160.0,26.9,Credit Card,Germany,Bavaria,Europe
TXN-100061,2025-08-26,Cust-1044,Customer 1044,Home & Kitchen,Blender,1,49.0,0.0,49.0,18.29,Google Pay,France,Auvergne-Rhône-Alpes,Europe
TXN-100062,2025-11-15,Cust-1031,Customer 1031,Home & Kitchen,Dinner Set,2,79.0,0.05,150.1,32.8,PayPal,United States,Texas,North America
TXN-100063,2024-07-29,Cust-1034,Customer 1034,Sports,Backpack,1,55.0,0.0,55.0,22.12,Debit Card,United States,Illinois,North America
TXN-100064,2025-01-16,Cust-1023,Customer 1023,Beauty,Shampoo,1,15.0,0.0,15.0,6.69,PayPal,Canada,Ontario,North America
TXN-100065,2024-09-13,Cust-1095,Customer 1095,Clothing,Sneakers,1,80.0,0.0,80.0,26.55,Debit Card,Canada,Alberta,North America
TXN-100066,2026-01-07,Cust-1114,Customer 1114,Electronics,Charger,1,29.0,0.05,27.55,9.35,Debit Card,United States,Texas,North America
TXN-100067,2025-07-17,Cust-1007,Customer 1007,Beauty,Foundation,1,35.0,0.15,29.75,6.08,Google Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100068,2024-06-26,Cust-1040,Customer 1040,Beauty,Shampoo,1,15.0,0.0,15.0,3.87,Credit Card,Canada,British Columbia,North America
TXN-100069,2025-07-19,Cust-1122,Customer 1122,Clothing,T-Shirt,1,25.0,0.1,22.5,3.44,Apple Pay,United States,Florida,North America
TXN-100070,2026-01-11,Cust-1044,Customer 1044,Home & Kitchen,Blender,1,49.0,0.0,49.0,14.99,Credit Card,Canada,Alberta,North America
TXN-100071,2024-10-08,Cust-1000,Customer 1000,Sports,Running Shoes,2,95.0,0.15,161.5,36.46,PayPal,Germany,Bavaria,Europe
TXN-100072,2025-10-14,Cust-1048,Customer 1048,Clothing,Sneakers,1,80.0,0.1,72.0,22.86,Apple Pay,United Kingdom,England,Europe
TXN-100073,2026-05-28,Cust-1113,Customer 1113,Electronics,Smartphone,2,699.0,0.15,1188.3,192.27,Google Pay,United Kingdom,Scotland,Europe
TXN-100074,2025-07-31,Cust-1058,Customer 1058,Sports,Yoga Mat,2,29.0,0.0,58.0,11.28,PayPal,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100075,2026-06-24,Cust-1042,Customer 1042,Electronics,Smartphone,2,699.0,0.1,1258.2,360.38,Apple Pay,United Kingdom,Scotland,Europe
TXN-100076,2026-01-01,Cust-1037,Customer 1037,Beauty,Shampoo,1,15.0,0.15,12.75,4.72,Credit Card,Canada,Ontario,North America
TXN-100077,2024-12-03,Cust-1007,Customer 1007,Sports,Backpack,4,55.0,0.0,220.0,76.67,Debit Card,Canada,British Columbia,North America
TXN-100078,2025-01-12,Cust-1113,Customer 1113,Electronics,Smartphone,3,699.0,0.1,1887.3,718.22,Apple Pay,United Kingdom,England,Europe
TXN-100079,2025-03-21,Cust-1032,Customer 1032,Clothing,Jacket,4,120.0,0.1,432.0,151.24,Apple Pay,United States,New York,North America
TXN-100080,2025-03-22,Cust-1062,Customer 1062,Clothing,T-Shirt,1,25.0,0.1,22.5,8.66,Credit Card,France,Auvergne-Rhône-Alpes,Europe
TXN-100081,2025-09-23,Cust-1067,Customer 1067,Electronics,Charger,3,29.0,0.15,73.95,20.81,Google Pay,Canada,Quebec,North America
TXN-100082,2025-09-29,Cust-1022,Customer 1022,Home & Kitchen,Knife Set,3,59.0,0.0,177.0,55.46,Credit Card,United States,Illinois,North America
TXN-100083,2026-06-21,Cust-1075,Customer 1075,Electronics,Charger,1,29.0,0.0,29.0,9.54,Apple Pay,United States,Texas,North America
TXN-100084,2025-03-03,Cust-1101,Customer 1101,Electronics,Headphones,2,150.0,0.05,285.0,95.72,Google Pay,United States,Texas,North America
TXN-100085,2026-05-27,Cust-1025,Customer 1025,Electronics,Smartwatch,1,199.0,0.0,199.0,52.55,Google Pay,Canada,Alberta,North America
TXN-100086,2025-04-16,Cust-1043,Customer 1043,Beauty,Perfume,3,75.0,0.1,202.5,74.0,Google Pay,United Kingdom,Wales,Europe
TXN-100087,2026-06-19,Cust-1020,Customer 1020,Home & Kitchen,Knife Set,3,59.0,0.0,177.0,75.78,Google Pay,Germany,Bavaria,Europe
TXN-100088,2026-06-14,Cust-1018,Customer 1018,Electronics,Charger,2,29.0,0.0,58.0,20.36,Apple Pay,France,Auvergne-Rhône-Alpes,Europe
TXN-100089,2025-05-28,Cust-1034,Customer 1034,Electronics,Smartwatch,2,199.0,0.0,398.0,176.32,PayPal,Canada,Ontario,North America
TXN-100090,2024-08-16,Cust-1006,Customer 1006,Beauty,Foundation,3,35.0,0.0,105.0,25.05,Google Pay,United States,New York,North America
TXN-100091,2025-01-27,Cust-1041,Customer 1041,Beauty,Moisturizer,1,25.0,0.1,22.5,7.09,PayPal,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100092,2024-12-29,Cust-1140,Customer 1140,Sports,Running Shoes,1,95.0,0.0,95.0,31.66,Google Pay,Canada,Ontario,North America
TXN-100093,2025-07-09,Cust-1071,Customer 1071,Clothing,Jeans,1,60.0,0.0,60.0,22.18,Debit Card,Germany,Hamburg,Europe
TXN-100094,2025-10-30,Cust-1088,Customer 1088,Electronics,Headphones,2,150.0,0.0,300.0,97.79,Apple Pay,United States,Texas,North America
TXN-100095,2024-08-04,Cust-1118,Customer 1118,Sports,Yoga Mat,1,29.0,0.0,29.0,6.35,Credit Card,United Kingdom,Scotland,Europe
TXN-100096,2024-11-28,Cust-1077,Customer 1077,Sports,Backpack,1,55.0,0.0,55.0,12.78,PayPal,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100097,2024-07-09,Cust-1041,Customer 1041,Sports,Yoga Mat,2,29.0,0.15,49.3,9.29,Debit Card,United Kingdom,Scotland,Europe
TXN-100098,2024-08-28,Cust-1031,Customer 1031,Sports,Running Shoes,1,95.0,0.1,85.5,17.75,Credit Card,United States,Texas,North America
TXN-100099,2025-11-27,Cust-1012,Customer 1012,Clothing,Sneakers,1,80.0,0.1,72.0,15.85,Debit Card,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100100,2025-06-03,Cust-1066,Customer 1066,Beauty,Shampoo,1,15.0,0.0,15.0,2.49,Credit Card,Germany,Berlin,Europe
TXN-100101,2024-10-31,Cust-1034,Customer 1034,Electronics,Smartwatch,1,199.0,0.0,199.0,87.02,Credit Card,France,Île-de-France,Europe
TXN-100102,2026-04-03,Cust-1054,Customer 1054,Electronics,Smartphone,3,699.0,0.0,2097.0,503.82,Google Pay,Germany,Hamburg,Europe
TXN-100103,2025-10-09,Cust-1022,Customer 1022,Beauty,Perfume,1,75.0,0.15,63.75,27.29,Credit Card,Germany,Bavaria,Europe
TXN-100104,2024-08-26,Cust-1029,Customer 1029,Sports,Running Shoes,2,95.0,0.0,190.0,71.55,Apple Pay,United States,Illinois,North America
TXN-100105,2024-11-10,Cust-1037,Customer 1037,Beauty,Foundation,1,35.0,0.0,35.0,7.64,Credit Card,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100106,2025-11-05,Cust-1084,Customer 1084,Electronics,Headphones,1,150.0,0.0,150.0,59.64,Debit Card,Canada,Alberta,North America
TXN-100107,2026-02-07,Cust-1054,Customer 1054,Home & Kitchen,Air Fryer,2,119.0,0.0,238.0,63.62,Credit Card,Germany,Hamburg,Europe
TXN-100108,2025-07-21,Cust-1041,Customer 1041,Electronics,Charger,1,29.0,0.1,26.1,10.71,Apple Pay,United Kingdom,Wales,Europe
TXN-100109,2026-04-30,Cust-1013,Customer 1013,Clothing,Socks,1,10.0,0.0,10.0,2.17,Debit Card,Germany,Berlin,Europe
TXN-100110,2025-08-17,Cust-1024,Customer 1024,Electronics,Smartphone,1,699.0,0.0,699.0,232.01,Apple Pay,United States,Illinois,North America
TXN-100111,2025-04-09,Cust-1130,Customer 1130,Home & Kitchen,Coffee Maker,3,89.0,0.05,253.65,47.31,Apple Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100112,2025-07-08,Cust-1024,Customer 1024,Beauty,Shampoo,2,15.0,0.15,25.5,7.13,Apple Pay,France,Auvergne-Rhône-Alpes,Europe
TXN-100113,2025-10-27,Cust-1145,Customer 1145,Sports,Running Shoes,3,95.0,0.0,285.0,44.26,PayPal,Canada,Alberta,North America
TXN-100114,2025-02-10,Cust-1030,Customer 1030,Home & Kitchen,Knife Set,3,59.0,0.0,177.0,29.64,Google Pay,United Kingdom,Scotland,Europe
TXN-100115,2024-08-04,Cust-1055,Customer 1055,Clothing,Jacket,1,120.0,0.0,120.0,46.18,Apple Pay,United Kingdom,Wales,Europe
TXN-100116,2024-07-22,Cust-1096,Customer 1096,Beauty,Moisturizer,5,25.0,0.1,112.5,37.64,Apple Pay,Germany,Bavaria,Europe
TXN-100117,2024-11-06,Cust-1123,Customer 1123,Electronics,Charger,3,29.0,0.0,87.0,18.13,Google Pay,United Kingdom,Scotland,Europe
TXN-100118,2025-01-11,Cust-1085,Customer 1085,Sports,Dumbbells,1,45.0,0.0,45.0,17.42,Debit Card,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100119,2024-07-27,Cust-1119,Customer 1119,Sports,Yoga Mat,1,29.0,0.1,26.1,8.84,Google Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100120,2024-08-11,Cust-1138,Customer 1138,Sports,Running Shoes,1,95.0,0.0,95.0,17.88,Apple Pay,Canada,Alberta,North America
TXN-100121,2025-11-09,Cust-1081,Customer 1081,Home & Kitchen,Coffee Maker,2,89.0,0.1,160.2,42.89,Credit Card,Canada,Ontario,North America
TXN-100122,2025-08-05,Cust-1104,Customer 1104,Clothing,T-Shirt,4,25.0,0.1,90.0,15.56,Debit Card,United States,New York,North America
TXN-100123,2026-01-19,Cust-1057,Customer 1057,Beauty,Shampoo,3,15.0,0.0,45.0,11.97,Apple Pay,United States,California,North America
TXN-100124,2026-06-22,Cust-1086,Customer 1086,Sports,Water Bottle,1,20.0,0.15,17.0,4.81,PayPal,France,Île-de-France,Europe
TXN-100125,2024-10-01,Cust-1128,Customer 1128,Sports,Water Bottle,1,20.0,0.0,20.0,8.74,Apple Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100126,2026-05-09,Cust-1138,Customer 1138,Beauty,Perfume,2,75.0,0.0,150.0,30.33,Debit Card,France,Île-de-France,Europe
TXN-100127,2026-06-20,Cust-1037,Customer 1037,Beauty,Lipstick,1,18.0,0.05,17.1,5.77,Debit Card,Canada,British Columbia,North America
TXN-100128,2025-12-23,Cust-1048,Customer 1048,Beauty,Moisturizer,3,25.0,0.05,71.25,22.02,Google Pay,Canada,Quebec,North America
TXN-100129,2026-02-27,Cust-1139,Customer 1139,Home & Kitchen,Blender,2,49.0,0.0,98.0,36.69,PayPal,Germany,Berlin,Europe
TXN-100130,2025-09-29,Cust-1009,Customer 1009,Clothing,Jeans,1,60.0,0.0,60.0,16.78,Credit Card,Germany,Berlin,Europe
TXN-100131,2026-03-29,Cust-1113,Customer 1113,Beauty,Moisturizer,1,25.0,0.0,25.0,10.4,Debit Card,France,Auvergne-Rhône-Alpes,Europe
TXN-100132,2024-06-29,Cust-1031,Customer 1031,Clothing,Sneakers,4,80.0,0.0,320.0,120.48,Apple Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100133,2025-01-28,Cust-1085,Customer 1085,Home & Kitchen,Coffee Maker,4,89.0,0.0,356.0,71.0,Apple Pay,France,Île-de-France,Europe
TXN-100134,2025-11-09,Cust-1026,Customer 1026,Electronics,Headphones,1,150.0,0.0,150.0,41.1,Credit Card,France,Île-de-France,Europe
TXN-100135,2025-07-27,Cust-1002,Customer 1002,Home & Kitchen,Knife Set,1,59.0,0.0,59.0,24.38,Debit Card,France,Auvergne-Rhône-Alpes,Europe
TXN-100136,2025-07-22,Cust-1143,Customer 1143,Clothing,Sneakers,2,80.0,0.15,136.0,24.45,PayPal,Canada,Quebec,North America
TXN-100137,2025-01-17,Cust-1009,Customer 1009,Sports,Water Bottle,1,20.0,0.0,20.0,7.7,Debit Card,Germany,Berlin,Europe
TXN-100138,2024-07-09,Cust-1089,Customer 1089,Electronics,Smartwatch,2,199.0,0.0,398.0,174.09,PayPal,United States,Florida,North America
TXN-100139,2025-12-30,Cust-1143,Customer 1143,Home & Kitchen,Air Fryer,5,119.0,0.0,595.0,169.33,PayPal,Germany,Berlin,Europe
TXN-100140,2025-09-28,Cust-1036,Customer 1036,Sports,Backpack,1,55.0,0.0,55.0,11.24,Apple Pay,France,Île-de-France,Europe
TXN-100141,2026-05-16,Cust-1013,Customer 1013,Home & Kitchen,Knife Set,2,59.0,0.0,118.0,37.55,Debit Card,Canada,Quebec,North America
TXN-100142,2026-01-20,Cust-1146,Customer 1146,Beauty,Moisturizer,1,25.0,0.05,23.75,4.62,Debit Card,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100143,2025-02-20,Cust-1116,Customer 1116,Beauty,Perfume,1,75.0,0.0,75.0,18.63,Apple Pay,United States,New York,North America
TXN-100144,2026-01-09,Cust-1112,Customer 1112,Home & Kitchen,Dinner Set,2,79.0,0.15,134.3,57.74,Credit Card,France,Île-de-France,Europe
TXN-100145,2024-09-28,Cust-1003,Customer 1003,Beauty,Perfume,2,75.0,0.15,127.5,47.71,Google Pay,United States,New York,North America
TXN-100146,2025-10-22,Cust-1060,Customer 1060,Electronics,Laptop,1,999.0,0.05,949.05,309.15,Credit Card,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100147,2025-08-05,Cust-1108,Customer 1108,Home & Kitchen,Knife Set,1,59.0,0.1,53.1,11.56,Google Pay,France,Île-de-France,Europe
TXN-100148,2025-02-10,Cust-1048,Customer 1048,Sports,Dumbbells,4,45.0,0.05,171.0,58.03,Credit Card,Canada,British Columbia,North America
TXN-100149,2026-04-10,Cust-1023,Customer 1023,Clothing,Sneakers,3,80.0,0.0,240.0,79.94,Apple Pay,Germany,Bavaria,Europe
TXN-100150,2024-12-12,Cust-1035,Customer 1035,Sports,Running Shoes,1,95.0,0.0,95.0,22.11,Debit Card,Germany,Berlin,Europe
TXN-100151,2025-12-17,Cust-1079,Customer 1079,Electronics,Smartphone,3,699.0,0.0,2097.0,621.28,Debit Card,United Kingdom,Scotland,Europe
TXN-100152,2024-07-30,Cust-1106,Customer 1106,Clothing,Socks,2,10.0,0.0,20.0,5.08,PayPal,Canada,Alberta,North America
TXN-100153,2025-12-01,Cust-1147,Customer 1147,Sports,Dumbbells,3,45.0,0.05,128.25,43.26,Google Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100154,2024-12-01,Cust-1081,Customer 1081,Sports,Water Bottle,2,20.0,0.0,40.0,10.06,Google Pay,United Kingdom,England,Europe
TXN-100155,2026-05-24,Cust-1127,Customer 1127,Beauty,Lipstick,1,18.0,0.0,18.0,6.59,Credit Card,Canada,Ontario,North America
TXN-100156,2025-02-22,Cust-1080,Customer 1080,Sports,Backpack,3,55.0,0.05,156.75,26.69,Debit Card,United States,California,North America
TXN-100157,2024-09-18,Cust-1097,Customer 1097,Clothing,Jeans,1,60.0,0.15,51.0,20.65,Debit Card,Canada,Quebec,North America
TXN-100158,2026-01-23,Cust-1143,Customer 1143,Home & Kitchen,Knife Set,2,59.0,0.0,118.0,45.56,Debit Card,Germany,Hamburg,Europe
TXN-100159,2026-05-07,Cust-1098,Customer 1098,Home & Kitchen,Coffee Maker,1,89.0,0.0,89.0,17.75,Apple Pay,Germany,Berlin,Europe
TXN-100160,2026-01-02,Cust-1142,Customer 1142,Sports,Running Shoes,3,95.0,0.0,285.0,81.33,Debit Card,Canada,Alberta,North America
TXN-100161,2026-01-19,Cust-1112,Customer 1112,Electronics,Smartphone,1,699.0,0.0,699.0,164.08,PayPal,Canada,Alberta,North America
TXN-100162,2026-04-01,Cust-1005,Customer 1005,Beauty,Lipstick,1,18.0,0.0,18.0,5.08,Apple Pay,United Kingdom,Scotland,Europe
TXN-100163,2024-07-22,Cust-1040,Customer 1040,Beauty,Shampoo,2,15.0,0.05,28.5,7.66,Apple Pay,Canada,Quebec,North America
TXN-100164,2026-03-06,Cust-1011,Customer 1011,Electronics,Headphones,1,150.0,0.1,135.0,27.09,Credit Card,United States,Florida,North America
TXN-100165,2026-01-01,Cust-1007,Customer 1007,Sports,Running Shoes,3,95.0,0.0,285.0,111.03,Apple Pay,United Kingdom,England,Europe
TXN-100166,2025-05-30,Cust-1138,Customer 1138,Clothing,Socks,5,10.0,0.05,47.5,16.17,Debit Card,Germany,Berlin,Europe
TXN-100167,2025-05-21,Cust-1058,Customer 1058,Home & Kitchen,Knife Set,2,59.0,0.0,118.0,43.17,Google Pay,Canada,Quebec,North America
TXN-100168,2026-03-26,Cust-1008,Customer 1008,Beauty,Foundation,1,35.0,0.05,33.25,14.84,Apple Pay,Canada,British Columbia,North America
TXN-100169,2025-11-12,Cust-1107,Customer 1107,Clothing,Socks,1,10.0,0.1,9.0,3.73,Google Pay,Canada,Alberta,North America
TXN-100170,2025-06-07,Cust-1033,Customer 1033,Clothing,Jacket,1,120.0,0.05,114.0,39.37,Apple Pay,United States,Illinois,North America
TXN-100171,2025-10-10,Cust-1138,Customer 1138,Home & Kitchen,Air Fryer,1,119.0,0.05,113.05,20.56,Credit Card,United Kingdom,Wales,Europe
TXN-100172,2025-02-10,Cust-1147,Customer 1147,Beauty,Lipstick,3,18.0,0.0,54.0,18.51,Credit Card,Germany,Berlin,Europe
TXN-100173,2024-12-31,Cust-1046,Customer 1046,Sports,Water Bottle,3,20.0,0.0,60.0,22.67,Credit Card,Germany,Bavaria,Europe
TXN-100174,2025-02-04,Cust-1098,Customer 1098,Beauty,Shampoo,3,15.0,0.05,42.75,17.62,PayPal,United Kingdom,Wales,Europe
TXN-100175,2025-07-14,Cust-1090,Customer 1090,Electronics,Smartwatch,1,199.0,0.0,199.0,54.49,Credit Card,United Kingdom,England,Europe
TXN-100176,2025-07-06,Cust-1087,Customer 1087,Electronics,Smartphone,1,699.0,0.15,594.15,223.51,Apple Pay,United States,Florida,North America
TXN-100177,2025-04-03,Cust-1070,Customer 1070,Clothing,Jacket,2,120.0,0.0,240.0,81.73,Google Pay,Germany,Berlin,Europe
